IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
188.165.158.68,8443,TRUE,LHR,Europe,London,253 ms,4
145.239.239.30,2053,TRUE,WAW,Europe,Warsaw,270 ms,4
172.105.78.175,443,TRUE,FRA,Europe,Frankfurt,156 ms,3.99
176.97.75.90,443,TRUE,FRA,Europe,Frankfurt,201 ms,3.99
5.144.181.181,2053,TRUE,LHR,Europe,London,210 ms,3.99
206.237.24.40,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,3.99
51.255.157.136,2053,TRUE,LHR,Europe,London,230 ms,3.98
45.89.55.200,2053,TRUE,BEG,Europe,Belgrade,243 ms,3.98
45.205.0.110,2087,TRUE,LAX,North America,Los Angeles,235 ms,3.97
51.91.174.185,8443,TRUE,LHR,Europe,London,250 ms,3.97
54.37.18.117,2053,TRUE,LHR,Europe,London,251 ms,3.97
139.59.149.90,8443,TRUE,FRA,Europe,Frankfurt,255 ms,3.97
38.180.170.183,443,TRUE,AMS,Europe,Amsterdam,134 ms,3.96
54.38.207.182,2053,TRUE,WAW,Europe,Warsaw,199 ms,3.96
188.165.26.149,8443,TRUE,LHR,Europe,London,243 ms,3.96
45.205.0.158,2053,TRUE,LAX,North America,Los Angeles,233 ms,3.95
51.178.37.179,8443,TRUE,LHR,Europe,London,240 ms,3.95
146.190.178.99,2053,TRUE,FRA,Europe,Frankfurt,250 ms,3.95
37.59.72.3,2053,TRUE,LHR,Europe,London,254 ms,3.95
91.92.16.17,443,TRUE,AMS,Europe,Amsterdam,174 ms,3.94
5.144.181.179,8443,TRUE,LHR,Europe,London,212 ms,3.94
51.195.208.133,8443,TRUE,LHR,Europe,London,219 ms,3.93
51.77.44.218,2053,TRUE,WAW,Europe,Warsaw,247 ms,3.93
38.180.15.45,443,TRUE,FRA,Europe,Frankfurt,170 ms,3.92
86.38.156.210,8443,TRUE,FRA,Europe,Frankfurt,215 ms,3.92
5.144.181.97,8443,TRUE,LHR,Europe,London,243 ms,3.92
139.59.134.109,2053,TRUE,FRA,Europe,Frankfurt,244 ms,3.92
135.125.215.53,2053,TRUE,FRA,Europe,Frankfurt,212 ms,3.91
137.74.151.64,2053,TRUE,LHR,Europe,London,222 ms,3.91
156.238.18.156,443,TRUE,LAX,North America,Los Angeles,231 ms,3.91
5.144.181.43,8443,TRUE,LHR,Europe,London,254 ms,3.91
51.75.76.170,443,TRUE,FRA,Europe,Frankfurt,258 ms,3.9
165.232.81.187,2053,TRUE,AMS,Europe,Amsterdam,225 ms,3.89
45.205.0.93,2053,TRUE,LAX,North America,Los Angeles,240 ms,3.89
51.89.124.132,8443,TRUE,FRA,Europe,Frankfurt,241 ms,3.89
51.178.175.235,8443,TRUE,LHR,Europe,London,263 ms,3.89
51.195.208.133,2053,TRUE,LHR,Europe,London,244 ms,3.88
45.205.0.99,2083,TRUE,LAX,North America,Los Angeles,303 ms,3.88
193.38.55.218,8443,TRUE,AMS,Europe,Amsterdam,194 ms,3.87
164.132.31.55,2053,TRUE,LHR,Europe,London,205 ms,3.87
94.131.98.32,443,TRUE,CPH,Europe,Copenhagen,216 ms,3.87
57.128.168.191,8443,TRUE,LHR,Europe,London,261 ms,3.87
38.180.113.235,2053,TRUE,IST,Europe,Istanbul,262 ms,3.87
134.209.196.191,2053,TRUE,AMS,Europe,Amsterdam,303 ms,3.87
5.144.181.140,2053,TRUE,LHR,Europe,London,171 ms,3.86
51.38.144.102,8443,TRUE,WAW,Europe,Warsaw,245 ms,3.86
45.144.48.49,2053,TRUE,WAW,Europe,Warsaw,247 ms,3.86
5.144.181.239,2053,TRUE,LHR,Europe,London,268 ms,3.86
5.61.49.231,2053,TRUE,AMS,Europe,Amsterdam,134 ms,3.85
206.189.249.108,2053,TRUE,FRA,Europe,Frankfurt,234 ms,3.85
51.89.246.97,2053,TRUE,LHR,Europe,London,266 ms,3.85
66.245.196.225,8443,TRUE,MAN,Europe,Manchester,187 ms,3.84
45.144.48.8,2053,TRUE,WAW,Europe,Warsaw,259 ms,3.84
51.89.170.186,8443,TRUE,LHR,Europe,London,272 ms,3.84
5.45.93.63,8443,TRUE,AMS,Europe,Amsterdam,153 ms,3.83
206.238.237.218,2083,TRUE,LAX,North America,Los Angeles,232 ms,3.83
51.38.69.149,8443,TRUE,LHR,Europe,London,240 ms,3.83
51.38.152.79,8443,TRUE,WAW,Europe,Warsaw,255 ms,3.83
45.67.228.46,2053,TRUE,AMS,Europe,Amsterdam,262 ms,3.83
64.226.94.33,443,TRUE,FRA,Europe,Frankfurt,210 ms,3.82
94.131.101.71,8443,TRUE,EWR,North America,Newark,255 ms,3.82
54.36.226.41,8443,TRUE,LHR,Europe,London,268 ms,3.82
23.94.200.24,34237,TRUE,ATL,North America,Atlanta,322 ms,3.81
154.64.238.134,25280,TRUE,LAX,North America,Los Angeles,164 ms,3.8
104.248.128.137,443,TRUE,FRA,Europe,Frankfurt,246 ms,3.8
45.205.0.92,2096,TRUE,LAX,North America,Los Angeles,250 ms,3.8
46.101.65.159,443,TRUE,LHR,Europe,London,257 ms,3.8
141.94.207.218,8443,TRUE,LHR,Europe,London,233 ms,3.79
5.144.181.161,8443,TRUE,LHR,Europe,London,243 ms,3.79
51.178.53.76,34237,TRUE,FRA,Europe,Frankfurt,247 ms,3.79
206.238.236.128,8443,TRUE,LAX,North America,Los Angeles,221 ms,3.78
206.238.236.149,8443,TRUE,LAX,North America,Los Angeles,233 ms,3.78
51.89.124.154,8443,TRUE,FRA,Europe,Frankfurt,234 ms,3.78
51.89.27.249,2053,TRUE,FRA,Europe,Frankfurt,241 ms,3.78
54.37.64.120,8443,TRUE,FRA,Europe,Frankfurt,254 ms,3.78
51.83.172.199,2053,TRUE,WAW,Europe,Warsaw,229 ms,3.77
154.9.241.153,31082,TRUE,LAX,North America,Los Angeles,169 ms,3.76
172.252.136.105,34237,TRUE,LAX,North America,Los Angeles,197 ms,3.76
185.239.71.240,443,TRUE,AMS,Europe,Amsterdam,210 ms,3.76
137.74.150.126,8443,TRUE,CDG,Europe,Paris,227 ms,3.76
