IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
179.43.140.41,8443,TRUE,FRA,Europe,Frankfurt,170 ms,7.73
185.235.242.196,8443,TRUE,DME,Europe,Moscow,223 ms,7.72
45.87.153.208,2053,TRUE,AMS,Europe,Amsterdam,244 ms,7.7
94.131.105.46,8443,TRUE,AMS,Europe,Amsterdam,163 ms,7.67
38.180.163.78,443,TRUE,TLL,Europe,Tallinn,199 ms,7.67
162.19.212.24,2083,TRUE,FRA,Europe,Frankfurt,176 ms,7.66
80.79.114.176,2053,TRUE,TLL,Europe,Tallinn,235 ms,7.62
45.14.246.153,2053,TRUE,KBP,Europe,Kyiv,172 ms,7.6
38.111.219.106,34237,TRUE,LAX,North America,Los Angeles,180 ms,7.6
85.208.110.181,443,TRUE,AMS,Europe,Amsterdam,199 ms,7.6
38.180.70.240,8443,TRUE,AMS,Europe,Amsterdam,128 ms,7.59
46.101.207.148,2053,TRUE,FRA,Europe,Frankfurt,216 ms,7.58
65.20.106.44,2053,TRUE,MAD,Europe,Madrid,191 ms,7.55
